"questionID","type","group","questionText","answer1","answer2","image1","answer3"
"99","hotOrNot","4","Hoverboard",,,"assets/img/hoverboard.png",
"92","hotOrNot","2","Vegetarmat",,,"assets/img/vegetar.jpg",
"120","hotOrNot","2","Pølse i vaffel",,,"assets/img/polsevaffel.jpg",
"64","etisk","1","Du finner en lommebok med 3 000 kr på gata. Hva gjør du?","Beholder lommeboka og gir pengene til politiet.","Beholder pengene og gir lommeboka til politiet.",,"Leverer den til politiet, så klart!"
"103","hotOrNot","4","VR-briller",,,"assets/img/vr-briller.jpg",
"102","hotOrNot","4","Apple Watch",,,"assets/img/apple_watch.jpg",
"36","dilemma","3",,"Alltid hår i maten","Alltid mat i håret",,
"49","harDu","1","Sovnet i forelesning?",,,,
"33","dilemma","3",,"Gråte fra nesa","Nyse fra øynene",,
"22","tekst","1","Hva drikker du helst?","Brus","Vin",,"Øl"
"50","harDu","1","Blitt ropt opp på et kjøpesenter eller en flyplass?",,,,
"109","dilemma","3",,"Pikk i panna","Panne som pikk",,
"109","hotOrNot","5","Taktisk kont",,,"assets/img/kont.jpg",
"16","dilemma","1",,"Være blind på det ene øyet","Alltid ha på solbriller",,
"40","dilemma","4",,"Spise en edderkopp om dagen","Alltid ha spindelvev under armene",,
"90","hotOrNot","2","Sylteagurk",,,"assets/img/pickles.jpg",
"2","hotOrNot","4","Nokia 3310",,,"assets/img/nokia.jpg",
"2","tekst","2","Hvor ville du helst reist?","Mallorca","New York",,"Jupiter"
"104","hotOrNot","4","3D-kino",,,"assets/img/3D-kino.jpg",
"13","tekst","1","Hva drikker du helst?","Saft","Te",,"Kaffe"
"121","hotOrNot","1","New Balance",,,"assets/img/new-balance.jpg",
"54","harDu","2","Sneket i bilkø?",,,,
"79","hotOrNot","1","Sokker i sandalene",,,"assets/img/sandalSokk1.jpg",
"79","tekst","4","Hvor mange UKA-arrangementer skal du på?","1-2","3-5",,"Alle!"
"8","tekst","1","Velg din favorittsnacks","Gulrot","Tortillachips",,"Bacon-crisp"
"108","dilemma","1",,"Rumpesprekk opp til nakken","Spise ribbe til middag resten av livet",,
"108","hotOrNot","5","Jentepoeng",,,"assets/img/jentepoeng.png",
"48","harDu","1","Deltatt i MGP junior?",,,,
"9","tekst","1","Velg din favorittrett","Wok","Taco",,"Hamburger"
"118","hotOrNot","2","Rødvin på fylla",,,"assets/img/redwine.jpg",
"59","harDu","3","Vært på TV?",,,,
"106","dilemma","1",,"Ha navle med diameter 10 cm","Aldri kunne bruke fly som fremkomstmiddel",,
"106","hotOrNot","5","Indøk",,,"assets/img/indok.png",
